Autauga, AL,18110,5908,643
Baldwin, AL,72780,18409,2901
Barbour, AL,5431,4848,111
Bibb, AL,6733,1874,141
Blount, AL,22808,2150,426
Bullock, AL,1139,3530,32
Butler, AL,4891,3716,78
Calhoun, AL,32803,13197,1376
Chambers, AL,7803,5763,212
Cherokee, AL,8809,1524,170
Chilton, AL,15068,2909,278
Choctaw, AL,4102,3109,57
Clarke, AL,7109,5712,115
Clay, AL,5230,1234,108
Cleburne, AL,5738,684,110
Coffee, AL,15825,4194,494
Colbert, AL,16718,7296,612
Conecuh, AL,3413,3069,61
Coosa, AL,3376,1780,67
Covington, AL,13222,2379,217
Crenshaw, AL,4511,1663,78
Cullman, AL,32734,3730,814
Dale, AL,13798,4408,411
Dallas, AL,5784,12826,120
DeKalb, AL,21779,3682,625
Elmore, AL,27619,8436,850
Escambia, AL,10282,4698,233
Etowah, AL,32132,10350,992
Fayette, AL,6705,1358,133
Franklin, AL,9466,2197,292
Geneva, AL,9967,1522,170
Greene, AL,838,4006,18
Hale, AL,3172,4772,66
Henry, AL,5623,2286,108
Houston, AL,30567,10547,916
Jackson, AL,16643,3663,479
Jefferson, AL,130614,151581,7916
Lamar, AL,5819,1035,77
Lauderdale, AL,27735,9877,1201
Lawrence, AL,10732,3611,280
Lee, AL,34321,20987,2360
Limestone, AL,28824,9340,1236
Lowndes, AL,1751,4882,43
Macon, AL,1394,7237,117
Madison, AL,89199,62435,7839
Marengo, AL,5224,5607,117
Marion, AL,11273,1432,207
Marshall, AL,29217,4913,835
Mobile, AL,91087,68429,3871
Mobile, AL,91087,68429,3871
Monroe, AL,5771,4310,104
Montgomery, AL,33928,58669,1975
Morgan, AL,37392,11216,1383
Perry, AL,1403,3823,29
Pickens, AL,5454,3972,68
Pike, AL,7681,5039,305
Randolph, AL,7697,2290,143
Russell, AL,9210,9577,349
Shelby, AL,72846,22927,3435
St. Clair, AL,31579,5550,808
Sumter, AL,1581,4739,71
Talladega, AL,20596,12108,514
Tallapoosa, AL,12967,5271,266
Tuscaloosa, AL,47701,31746,2261
Walker, AL,24208,4486,549
Washington, AL,6031,2366,95
Wilcox, AL,1737,4329,29
Winston, AL,9225,871,159
Arkansas, AR,3825,1939,403
Ashley, AR,5338,2408,281
Baxter, AR,14655,4163,754
Benton, AR,60751,27894,5617
Boone, AR,12225,2925,762
Bradley, AR,2163,1317,137
Calhoun, AR,1554,636,60
Carroll, AR,6773,3334,549
Chicot, AR,1716,2350,83
Clark, AR,4398,3606,361
Clay, AR,3779,1999,200
Cleburne, AR,9454,2101,413
Cleveland, AR,2460,723,116
Columbia, AR,5456,3140,241
Conway, AR,4844,2655,338
Craighead, AR,22798,10474,1696
Crawford, AR,16655,4476,1024
Crittenden, AR,6953,8368,477
Cross, AR,4577,1995,259
Dallas, AR,1507,1165,69
Desha, AR,1915,2227,84
Drew, AR,3967,2364,221
Faulkner, AR,29170,14525,2669
Franklin, AR,5034,1376,288
Fulton, AR,3470,1067,207
Garland, AR,26053,12283,2001
Grant, AR,5160,1407,288
Greene, AR,10698,3056,668
Hempstead, AR,4391,2371,222
Hot Spring, AR,8153,3137,525
Howard, AR,3155,1350,129
Independence, AR,9925,2878,640
Izard, AR,4042,1111,243
Jackson, AR,3262,1583,248
Jefferson, AR,9231,15721,731
Johnson, AR,6072,2421,504
Lafayette, AR,1750,1028,57
Lawrence, AR,4064,1263,302
Lee, AR,1229,1735,40
Lincoln, AR,2455,1252,107
